Region,Climate,Plot Size (ha),LiDAR TCH,Basal Area,BA-weighted WD,EACDfield,Regional ACD Model,General ACD Model
Colombia,moist,0.2827,2.66998461,0.793875333,0.653355749,1.705451983,7.300003306,7.899623926
Colombia,moist,0.2827,13.79619561,16.83981994,0.609152123,60.45674978,58.59217523,60.1429059
Colombia,moist,0.2827,11.49267211,18.11695928,0.627281444,61.0221564,46.47569045,48.11607104
Colombia,moist,0.2827,27.67444346,33.50384586,0.611023447,165.2113374,141.6542088,138.8792454
Colombia,moist,0.2827,25.9994803,29.21240325,0.618812396,140.161415,130.8712576,128.9838339
Colombia,moist,0.2827,28.66194281,27.28299753,0.599833691,113.8264815,148.0946695,144.7471926
Colombia,moist,0.2827,20.90683258,25.61838475,0.617714499,102.2525408,99.26115552,99.44077433
Colombia,moist,0.2827,22.72141878,28.07421683,0.642747846,119.9904469,110.3112489,109.8616865
Colombia,moist,0.2827,18.19483469,17.61193644,0.544447658,64.09382722,83.22586762,84.13024853
Colombia,moist,0.2827,25.76386642,28.89055528,0.608804947,126.2337348,129.3690648,127.5981228
Hawaii,dry,0.1257,0.08,3.186782438,0.612810301,8.745742376,2.268868417,0.283665683
Hawaii,dry,0.1257,0.15,0.51823125,0.570963855,1.195915707,3.617421074,0.623463424
Hawaii,dry,0.2827,3.65,16.87318889,0.679009796,53.7930009,38.64350229,33.94783507
Hawaii,dry,0.2827,6.3,20.79211944,0.668922409,59.79944863,57.94095763,67.18982615
Hawaii,dry,0.2827,2.58,6.875747222,0.69,21.54802241,29.8720073,21.99090163
Hawaii,dry,0.2827,13.03,26.33543333,0.682750978,83.54567338,99.35508699,166.5196395
Hawaii,dry,0.2827,2.72,10.76484722,0.58475796,25.07360308,31.06666464,23.49461784
Hawaii,dry,0.2827,3.23,10.91143611,0.689438095,29.45935762,35.29222262,29.13243542
Hawaii,dry,0.2827,3.76,13.26173611,0.634931923,33.76378313,39.50441481,35.23278142
Hawaii,dry,0.2827,4.19,10.44178889,0.640351988,18.25185407,42.80977904,40.34439266
Hawaii,dry,0.2827,5.15,15.38241667,0.641834504,27.14747422,49.89173779,52.22169959
Hawaii,dry,0.2827,8.33,36.78548056,0.88,123.0902462,71.28591161,95.25858142
Hawaii,dry,0.2827,14.87,38.86162778,0.689203528,118.7294973,109.5874656,196.3353011
Hawaii,dry,0.2827,3.59,11.70033333,0.687992471,35.01693166,38.1710981,33.25100748
Hawaii,dry,0.2827,6.02,19.45200278,0.689733332,60.27701085,56.01881632,63.47739795
Hawaii,dry,0.2827,7.13,30.87211944,0.675080898,90.09757999,63.51435663,78.43125318
Hawaii,dry,0.2827,4.34,9.567808333,0.626857856,23.27757558,43.94190056,42.15929323
Hawaii,dry,0.2827,4.93,11.35330278,0.56767601,23.17677679,48.30126412,49.44672548
Hawaii,dry,0.2827,1.18,8.363422222,0.83451167,17.88465448,16.71670381,8.257969528
Hawaii,dry,0.2827,1.21,10.49142222,0.69,34.57331306,17.03106686,8.521726421
Hawaii,dry,0.2827,0.74,5.159916667,0.785676556,11.71904658,11.8240757,4.603332681
Hawaii,dry,0.2827,0.53,9.664377778,0.69,29.28422063,9.229918135,3.030465795
Hawaii,dry,0.2827,0.46,3.231705556,0.76156388,5.095766355,8.308953428,2.537769156
Hawaii,dry,0.2827,0.35,1.310911111,0.6683692,1.823244334,6.783730487,1.802092828
Hawaii,dry,0.2827,0.53,2.111541667,0.529004506,2.311074211,9.229918135,3.030465795
Hawaii,dry,0.2827,1.33,4.4574,0.853275701,9.154190517,18.26907077,9.592983912
Hawaii,dry,0.2827,0.95,7.338386111,0.877960133,17.86949531,14.23237066,6.294382894
Hawaii,dry,0.2827,0.94,5.539591667,0.69,17.71185162,14.12104425,6.21151308
Hawaii,dry,0.2827,0.83,4.289094444,0.6465639,11.59517814,12.87530053,5.315005191
Hawaii,dry,0.2827,1.57,6.720452778,0.801881369,12.18066692,20.66246365,11.80788291
Hawaii,dry,0.2827,3.06,10.13738056,0.690303733,28.9649794,33.90424479,27.22642034
Hawaii,dry,0.2827,3.12,13.69047778,0.685824611,42.01077121,34.39633658,27.89617912
Hawaii,dry,0.2827,1.34,9.667930556,0.69,28.74121217,18.3709059,9.683390885
Hawaii,dry,0.2827,2.61,10.05587778,0.685958736,30.49433454,30.12938458,22.31144263
Hawaii,moist,0.2827,10.53,36.97823611,0.679722294,119.9396524,107.053028,100.4946446
Hawaii,moist,0.2827,10.39,17.5481,0.793850597,69.46378778,105.7331352,98.89409461
Hawaii,moist,0.2827,13.16,24.52469722,0.778356799,99.75283757,131.6277232,131.0990567
Hawaii,moist,0.2827,10.45,37.32562778,0.671721966,111.9870873,106.2989617,99.57964211
Hawaii,moist,0.2827,6.64,27.55876667,0.684923318,77.33562332,69.8199906,57.51803155
Hawaii,moist,0.2827,9.31,35.31247222,0.679193839,108.8563174,95.50588144,86.66398134
Hawaii,moist,0.2827,4.88,16.32685278,0.689719357,46.3464398,52.48194543,39.45221204
Hawaii,moist,0.2827,4.99,15.26806389,0.690047157,40.24915076,53.57755451,40.5472022
Hawaii,moist,0.2827,4.11,14.60659722,0.69,40.26806266,44.75941041,31.93792467
Hawaii,moist,0.2827,8.45,14.16728889,0.348419677,23.59440291,87.30006794,77.08967231
Hawaii,moist,0.181,19.86,39.84406973,0.571254357,150.5917832,192.7543454,212.0019729
Hawaii,moist,0.181,18.43,36.73394097,0.614961025,162.9693065,179.8551958,194.5139137
Hawaii,moist,0.181,18.58,46.07484713,0.595530794,201.9139937,181.2115966,196.3445862
Hawaii,moist,0.181,19.62,33.58090905,0.630069699,146.2731001,190.5943302,209.0618143
Hawaii,moist,0.181,20.52,50.55394724,0.524446575,201.7130036,198.6846242,220.0961581
Hawaii,moist,0.181,25.23,54.45934703,0.663459239,249.1121498,240.6263748,278.0450846
Hawaii,moist,0.181,21.28,45.76397135,0.662928823,225.5665666,205.4962023,229.4300989
Hawaii,moist,0.181,24.04,54.28381366,0.639927806,245.0882383,230.0882825,263.3945171
Hawaii,moist,0.181,23.41,53.98500579,0.647524725,252.3173604,224.4939488,255.6371758
Hawaii,moist,0.181,23.62,73.07923949,0.657417913,343.034332,226.3599354,258.2228923
Hawaii,moist,0.181,26.39,64.80424624,0.662198636,313.2832667,250.8638571,292.3151822
Hawaii,moist,0.181,27.16,72.27662857,0.653545979,341.922137,257.6411883,301.7770042
Hawaii,moist,0.181,15.52,18.27792969,0.625856616,65.60953597,153.371925,159.2382125
Hawaii,moist,0.181,14.49,24.28654514,0.589986716,84.1135714,143.9139637,146.8934769
Hawaii,moist,0.181,16.2,31.25024306,0.582769519,100.3652665,159.5907105,167.4338878
Hawaii,moist,0.181,12.39,34.66790799,0.558034081,114.1823062,124.4735722,122.0432792
Hawaii,moist,0.181,13.79,28.05667535,0.535340006,107.3236051,137.4583072,138.5582194
Hawaii,moist,0.181,14.87,41.41603299,0.529322744,138.324538,147.4088531,151.4373924
Hawaii,moist,0.181,16.41,39.65476128,0.663074656,238.551013,161.5073259,169.9714883
Hawaii,moist,0.181,15.78,50.4600217,0.663933439,243.218055,155.7520021,162.3678638
Hawaii,moist,0.181,11.12,29.7537635,0.655753904,158.0946481,112.6015524,107.2747737
Hawaii,moist,0.1257,13.21,49.6610125,0.608248222,153.6438839,132.0912013,131.6894811
Hawaii,moist,0.1257,11.12,47.6542375,0.621508649,142.6177238,112.6015524,107.2747737
Hawaii,moist,0.1257,0.81,11.98212706,0.644718104,32.30759315,9.933367769,4.24350773
Hawaii,moist,0.1257,13.27,52.03153125,0.566795468,150.6206551,132.6472058,132.3983579
Hawaii,moist,0.1257,13.33,44.00464375,0.679222059,165.3934341,133.2030266,133.107632
Hawaii,moist,0.1257,0.14,3.123780313,0.69,9.386538375,1.95198197,0.47214045
Hawaii,moist,0.1257,1.07,9.798998125,0.689549067,27.36761696,12.85749339,6.006640976
Hawaii,moist,0.1257,8.84,29.973675,0.69,89.2545768,91.02852332,81.41199923
Hawaii,moist,0.1257,11.05,18.24700625,0.621505802,57.87295848,111.9444005,106.4674921
Hawaii,moist,0.1257,9.55,18.996775,0.680969842,67.64953275,97.78577167,89.36299763
Hawaii,moist,0.1257,9.54,11.59745,0.682026232,39.00865223,97.69086059,89.25031514
Hawaii,moist,0.1257,1.29,4.340425,0.661202935,10.79089613,15.29062506,7.583961726
Hawaii,moist,0.1257,4.6,12.6969,0.676550103,42.19474177,49.68486281,36.68838674
Hawaii,moist,0.1257,3.9,13.79875,0.645373591,37.22505221,42.63560156,29.93816139
Hawaii,moist,0.1257,3.23,9.48974375,0.656834945,28.61527998,35.8010105,23.71993983
Hawaii,moist,0.1257,3.37,9.84180625,0.656154377,25.15731052,37.23706385,24.99756451
Hawaii,moist,0.1257,3.29,11.0496375,0.689129977,28.1794057,36.41700798,24.2660116
Hawaii,moist,0.1257,8.22,8.60816875,0.683172699,29.34590514,85.09536613,74.55665505
Hawaii,moist,0.1257,5.15,8.70883125,0.679038763,26.71812971,55.16802902,42.14883546
Hawaii,moist,0.1257,3.7,12.80215,0.644520452,30.31152454,40.60514147,28.05526033
Hawaii,moist,0.1257,6.34,24.9799125,0.634930802,68.61497532,66.8911922,54.36299417
Hawaii,moist,0.1257,0.13,0.81586875,0.567346157,1.966009181,1.822401883,0.430300094
Hawaii,moist,0.1257,2.28,10.84358125,0.61860773,24.75995095,25.92309546,15.40453598
Hawaii,moist,0.1257,3.74,13.53941875,0.653712069,40.45244617,41.01186217,28.43010031
Hawaii,moist,0.1257,3.18,10.902825,0.683482096,32.70707675,35.28704046,23.26660802
Hawaii,moist,0.1257,13.45,41.41605,0.606058394,132.2289779,134.3141203,134.5273579
Hawaii,moist,0.1257,15.59,57.909925,0.635924592,205.9271893,154.0129998,160.0803079
Hawaii,moist,0.1257,16.17,66.00941875,0.637594395,249.4750775,159.3167606,167.0716174
Hawaii,moist,0.1257,7.52,23.88870625,0.689821045,75.11725762,78.35702602,66.92597413
Hawaii,moist,0.1257,9.85,25.87349375,0.69,76.41562672,100.6297616,92.75226826
Hawaii,moist,0.1257,12.12,45.03104375,0.677528092,153.5186659,121.9573665,118.8851433
Hawaii,moist,0.1257,12.86,53.24363125,0.676617593,187.2234997,128.844132,127.5624783
Hawaii,moist,0.1257,15.13,39.9110125,0.674117957,141.5006146,149.7963234,154.5535784
Hawaii,moist,0.1257,14.32,41.72415625,0.670155904,150.4684577,142.3483001,144.8648932
Hawaii,moist,0.2827,1.92,16.83153611,0.88,54.6484259,22.10597828,12.4428539
Hawaii,moist,0.2827,11.52,37.14688333,0.618948707,128.9781424,116.3509659,111.9018786
Hawaii,moist,0.2827,16.32,41.07555833,0.669478301,164.8530684,160.6861403,168.8835825
Hawaii,moist,0.2827,6.64,17.86070556,0.533737514,55.84296968,69.8199906,57.51803155
Hawaii,moist,0.2827,14.61,33.71423889,0.53024786,99.21096995,145.0183287,148.3270111
Hawaii,moist,0.2827,10.59,13.98814444,0.58292813,56.44189688,107.6183026,101.181594
Hawaii,moist,0.2827,7.21,20.23198889,0.640218034,91.05253311,75.35846021,63.58700471
Hawaii,moist,0.2827,13.03,30.69165,0.656434472,141.3141339,130.4220762,129.5652718
Hawaii,moist,0.2827,8.11,17.70312778,0.620691106,72.181918,84.03935576,73.34958237
Hawaii,moist,0.2827,17.47,37.88103889,0.67849702,146.6714729,171.1548035,182.8225163
Hawaii,moist,0.2827,5.04,19.15715556,0.689090166,47.89278038,54.07497284,41.04658924
Hawaii,moist,0.2827,12.48,34.82630278,0.68353782,133.210824,125.3114126,123.0980512
Hawaii,moist,0.2827,3.57,13.03756667,0.69,37.75098365,39.28105848,26.8432084
Hawaii,moist,0.2827,1.48,10.25206944,0.689857779,30.3850586,17.36739159,9.000086619
Hawaii,moist,0.2827,0.75,5.33395,0.69,13.02454451,9.249460149,3.854604005
Hawaii,moist,0.2827,18.04,50.54020556,0.602548334,188.4630991,176.3247575,189.7588842
Hawaii,moist,0.2827,18.67,52.31476389,0.654516809,208.0788775,182.0250525,197.4434511
Hawaii,moist,0.2827,2.26,10.94507778,0.55,17.0628566,25.71225708,15.2369427
Hawaii,moist,0.2827,20.96,34.84223056,0.595300381,125.779639,202.6303744,225.4984882
Hawaii,moist,0.2827,17.03,40.69876667,0.573462389,144.12773,167.1555387,177.4800132
Hawaii,moist,0.2827,0.1,0.212991667,0.638370698,0.586012745,1.428996793,0.309803811
Hawaii,moist,0.2827,12,20.92528889,0.599166815,63.49370542,120.8377421,117.4845746
Hawaii,moist,0.2827,15.74,33.91548056,0.54467818,65.4783253,155.3860242,161.886049
Hawaii,moist,0.2827,10.58,19.98625278,0.574605334,74.73999071,107.5241065,101.0670612
Hawaii,moist,0.2827,20.07,60.14834722,0.66461364,255.1035411,194.642793,214.5760651
Hawaii,moist,0.2827,17.83,56.00341111,0.657899996,261.2781317,174.4214473,187.2014658
Hawaii,moist,0.2827,19.76,48.90488889,0.646601705,228.5897648,191.8545723,210.7766851
Hawaii,moist,0.2827,22.22,53.51248056,0.662440216,276.4849249,213.8965452,240.9894286
Hawaii,moist,0.2827,14.89,26.11686667,0.522390973,66.92366791,147.5926124,151.6768961
Hawaii,moist,0.2827,15.82,38.33289444,0.553584869,120.8725234,156.1179122,162.8497966
Hawaii,moist,0.2827,16.33,37.24124167,0.583069005,137.9639614,160.7773994,169.0044343
Hawaii,moist,0.2827,16.844663,43.94173333,0.673132913,195.7243924,165.4687152,175.2329936
Hawaii,moist,0.2827,14.893904,36.345625,0.676116629,154.7635082,147.6284801,151.7236512
Hawaii,moist,0.2827,14.217724,25.30835556,0.55,47.74804918,141.4057061,143.6457507
Hawaii,moist,0.2827,17.269768,39.26203056,0.654396976,161.160558,169.3357715,180.3899381
Hawaii,moist,0.2827,12.274063,45.26081389,0.688030407,171.5607364,123.3936191,120.68604
Hawaii,moist,0.2827,0.911184,4.249025,0.69,9.711594335,11.07847792,4.915338637
Hawaii,moist,0.2827,13.894483,45.55664722,0.680436352,163.153417,138.4233807,139.7993105
Hawaii,moist,0.2827,0.284269,1.378377778,0.69,3.673915046,3.763469347,1.145850129
Hawaii,moist,0.2827,0.782946,3.512152778,0.69,8.054729778,9.625469443,4.067241124
Hawaii,moist,0.2827,14.506818,51.99506111,0.665584042,176.5175545,144.0687806,147.0943081
Hawaii,moist,0.2827,13.465008,53.04956944,0.667223076,180.5243863,134.4530299,134.7050277
Hawaii,moist,0.2827,0.954933,4.761013889,0.69,10.21917232,11.57065343,5.21165379
Hawaii,moist,0.2827,1.459699,5.695577778,0.65926997,13.26155244,17.14647055,8.846578566
Hawaii,moist,0.2827,8.620928,33.45279167,0.548103203,86.12570737,88.93567927,78.97992122
Hawaii,moist,0.2827,0.840797,3.385983333,0.688198882,9.625445538,10.28295207,4.445926744
Hawaii,moist,0.2827,11.909538,34.84855556,0.549926264,83.14549373,119.9931724,116.4300254
Hawaii,moist,0.2827,11.457732,26.35269722,0.568525847,84.20494084,115.7679286,111.1800349
Hawaii,moist,0.2827,0.961967,4.271177778,0.655712918,10.27263119,11.64963008,5.259610075
Hawaii,moist,0.2827,1.506004,6.924455556,0.69,20.96052449,17.65005118,9.197456009
Hawaii,moist,0.2827,0.932187,4.359777778,0.69,10.71371057,11.31497197,5.057169359
Hawaii,moist,0.2827,11.22923,39.72955278,0.689389261,141.7074365,113.6263877,108.5359648
Hawaii,moist,0.2827,0.845041,4.489166667,0.69,10.62717047,10.33105262,4.473965687
Hawaii,moist,0.2827,7.701997,29.252525,0.689831045,102.2832432,80.11321485,68.89809446
Hawaii,moist,0.2827,1.200138,7.145886111,0.69,19.73353453,14.3007677,6.931102795
Hawaii,moist,0.2827,0.329365,1.873441667,0.69,5.802534955,4.313810514,1.377672069
Hawaii,moist,0.2827,0.25468,1.335383333,0.679839372,3.728447274,3.398940997,0.998593566
Hawaii,moist,0.2827,1.300667,8.913136111,0.670130641,26.26183236,15.40778386,7.662206377
Hawaii,wet,0.2827,8.09,25.95953889,0.677166152,81.54083729,79.60793033,70.58241295
Hawaii,wet,0.2827,10.64,33.09077778,0.676359536,96.04211512,107.5729894,96.81344673
Hawaii,wet,0.181,11.96,56.92353636,0.526636856,167.9070352,122.3234258,110.495587
Hawaii,wet,0.181,12.72,39.47207465,0.623821625,153.1149915,130.8905949,118.3733721
Hawaii,wet,0.181,10.18,32.66726128,0.595494888,111.6604653,102.4739493,92.05386827
Hawaii,wet,0.181,19.15,58.49942515,0.664471144,213.9006042,205.1828199,183.8225812
Hawaii,wet,0.181,18.53,34.37311294,0.58934437,130.1750656,197.895436,177.6635151
Hawaii,wet,0.181,17.04,28.2753723,0.495200586,88.05609973,180.4819962,162.7003006
Hawaii,wet,0.181,11.23,33.50947965,0.660462468,128.9207416,114.1449013,102.9264187
Hawaii,wet,0.181,12.33,30.23042004,0.637580336,121.5742218,126.4877716,114.3317146
Hawaii,wet,0.181,8.16,18.09842882,0.672486839,62.53469298,80.36511278,71.29552016
Hawaii,wet,0.2827,5.97,8.451675,0.677960676,66.68671103,57.00935276,49.3200378
Hawaii,wet,0.2827,15.84,29.64689444,0.661424187,114.4890033,166.5661754,150.5046221
Hawaii,wet,0.2827,13.91,39.90389167,0.618076751,133.4559592,144.4059094,130.6817479
Hawaii,wet,0.2827,17.77,34.27076111,0.607446465,118.2915312,188.9953979,170.0583393
Hawaii,wet,0.2827,0.4,1.310525,0.69,2.924580305,2.924663309,1.766084678
Hawaii,wet,0.2827,12.45,22.608275,0.618523316,100.1485,127.8410415,115.5755569
Hawaii,wet,0.2827,21.09,44.52020556,0.48857188,137.1663395,228.1331138,202.8038628
Hawaii,wet,0.2827,24.05,67.69215833,0.657754956,236.8707996,263.5487306,230.7945081
Madagascar,wet,0.2827,3.899771,5.390625,0.47,6.2236954,13.45586866,14.89438532
Madagascar,wet,0.2827,10.765426,17.02582908,0.502266964,44.59697269,52.52141667,54.74804132
Madagascar,wet,0.2827,11.63807,21.19943169,0.550391976,69.67827156,58.30866596,60.58871643
Madagascar,wet,0.2827,16.283616,29.04910714,0.473124767,69.72577473,91.48767153,94.11710614
Madagascar,wet,0.2827,13.781181,31.33955924,0.607504622,121.9236137,73.14402849,75.56224631
Madagascar,wet,0.2827,14.782155,19.29152636,0.530506056,58.36743854,80.3559124,82.84963513
Madagascar,wet,0.2827,15.141479,32.16844246,0.640696009,104.5890806,82.98631561,85.50978415
Madagascar,wet,0.2827,21.77614,17.23081349,0.519160759,59.84256803,135.0991454,138.5929762
Madagascar,wet,0.2827,17.348755,12.51931122,0.556414743,39.64234399,99.60172881,102.3484782
Madagascar,wet,0.2827,16.681439,26.26630385,0.560032195,107.4658183,94.49767223,97.16864872
Madagascar,wet,0.2827,18.721886,49.27214286,0.618743508,161.0452567,110.314588,113.2442023
Madagascar,wet,0.2827,18.837383,37.56033163,0.576005685,119.605892,111.2282358,114.1750385
Madagascar,wet,0.2827,20.903496,43.66965986,0.598343459,147.953299,127.8885338,131.1964504
Madagascar,wet,0.2827,19.119709,44.91701105,0.652904209,179.0714805,113.4696345,116.4597135
Madagascar,wet,0.2827,21.596478,43.63760488,0.538186491,130.6078808,133.6064064,137.0602178
Madagascar,wet,0.2827,23.328933,23.59306831,0.585613359,114.9137835,148.1736314,152.0531949
Madagascar,wet,0.2827,22.199629,30.88108277,0.558469094,93.51282546,138.6343499,142.2262008
Madagascar,wet,0.2827,21.622144,32.62958617,0.616074874,137.1644433,133.8193964,137.2788685
Madagascar,wet,0.2827,24.265742,36.31600198,0.533019192,120.9593085,156.207681,160.3565184
Madagascar,wet,0.2827,24.150245,55.89693878,0.639864333,210.2139549,155.2113697,159.3254514
Madagascar,wet,0.2827,26.52435,47.17658022,0.576978539,189.4306799,176.0104147,180.9320843
Madagascar,wet,0.2827,26.575682,50.52884921,0.598416878,181.824472,176.467391,181.4087682
Madagascar,wet,0.2827,28.551964,36.42420918,0.524256539,141.5271261,194.2864675,200.0637738
Madagascar,wet,0.2827,29.373276,48.88129252,0.56577149,205.5097286,201.8182139,207.9889084
Madagascar,wet,0.2827,30.476914,65.03975057,0.567742457,310.4390876,212.0524414,218.7963899
Madagascar,wet,0.2827,36.354428,49.9531335,0.557961161,204.9099207,268.6302801,279.3649658
Madagascar,moist,0.2827,21.11819209,33.36387897,0.568249954,109.2598472,111.1919972,152.3424929
Madagascar,moist,0.2827,9.08545797,27.8765148,0.58862543,64.59017427,47.28913583,54.04980077
Madagascar,moist,0.2827,18.22832882,28.62104734,0.606817354,95.39770939,95.78354605,127.3213025
Madagascar,moist,0.2827,12.46913508,12.02582908,0.480583618,25.188299,65.18210895,79.90161702
Madagascar,moist,0.2827,9.67616096,10.78316327,0.631803584,26.23912811,50.40704154,58.42959718
Madagascar,moist,0.2827,5.14136375,24.6823852,0.626973496,49.82108442,26.55316202,26.66243864
Madagascar,moist,0.2827,18.19124145,24.3500737,0.582002727,79.11698081,95.58600628,127.004891
Madagascar,moist,0.2827,24.13458874,41.3528458,0.557582099,128.9286727,127.3058914,179.1487557
Madagascar,moist,0.2827,23.29633718,29.79894558,0.578866158,90.40215019,122.8249501,171.6351415
Madagascar,moist,0.2827,17.38674068,48.76536832,0.465800003,97.4664866,91.30233806,120.1728453
Madagascar,moist,0.2827,5.48233656,31.32245855,0.635026704,58.2088564,28.3389941,28.87941713
Madagascar,moist,0.2827,4.68746054,27.44359694,0.648828566,66.09444054,24.17839048,23.76525805
Madagascar,moist,0.2827,21.36086412,56.58826956,0.59769573,158.4654831,112.4872692,154.4745602
Madagascar,moist,0.2827,19.05669897,41.4989229,0.621148453,117.3634867,100.1971337,134.4208683
Madagascar,moist,0.2827,10.58640565,42.75334503,0.619207264,86.47413563,55.21662418,65.29515736
Madagascar,moist,0.2827,7.14921493,8.5075,0.484975022,13.30710109,37.08954455,40.16146544
Madagascar,moist,0.2827,6.87689867,6.376951531,0.582002888,12.16753545,35.65787494,38.27183164
Madagascar,moist,0.2827,6.72713756,11.51785714,0.553849391,19.74287009,34.87085211,37.23994518
Madagascar,moist,0.2827,6.46239277,7.121,0.487838295,9.505864484,33.48015705,35.42888254
Madagascar,dry,0.1257,5.252600194,20.468125,0.339959083,20.45884118,20.79778547,28.93486993
Madagascar,dry,0.1257,3.440067274,8.613125,0.358846963,8.438659022,13.3060497,15.717776
Madagascar,dry,0.1257,3.740320975,7.776875,0.351488387,6.958470161,14.53449661,17.69372738
Madagascar,dry,0.1257,4.091727014,8.91,0.337415123,7.918128597,15.97914365,20.11437978
Madagascar,dry,0.1257,3.592561813,13.74625,0.319471674,11.95730012,13.92925046,16.71066774
Madagascar,dry,0.1257,2.196126085,6.57875,0.242102413,4.531208712,8.28638714,8.455293644
Madagascar,dry,0.1257,2.989346648,8.26875,0.329630763,8.154281201,11.47326516,12.91266741
Madagascar,dry,0.1257,0.860287783,3.3225,0.268167795,2.564061844,3.082142606,2.449420079
Madagascar,dry,0.1257,1.446499223,11.6175,0.306113622,8.778565507,5.333374206,4.834027135
Madagascar,dry,0.1257,2.86427623,5.83375,0.34852582,5.956454706,10.96729715,12.16887009
Madagascar,dry,0.1257,2.70617367,3.14125,0.357914843,3.096931379,10.32945143,11.25036268
Madagascar,dry,0.1257,2.05643888,8.519375,0.296799208,6.759968295,7.731184448,7.735506994
Madagascar,dry,0.1257,4.441978083,17.609375,0.316984561,16.30917189,17.42589212,22.64255105
Madagascar,dry,0.1257,3.914593115,25.301875,0.261753576,20.91781919,15.25004162,18.87966552
Madagascar,dry,0.1257,3.528974298,5.50875,0.317878375,5.126678597,13.6692054,16.29396944
Madagascar,dry,0.1257,2.428223723,16.928125,0.295833118,12.3029743,9.213157889,9.695051691
Madagascar,dry,0.1257,3.08051228,13.67,0.308621525,11.36032095,11.84281355,13.46434526
Madagascar,dry,0.1257,1.727567589,3.129375,0.308639904,2.389181513,6.432529397,6.121143028
Madagascar,dry,0.1257,3.82059139,28.859375,0.328157878,26.07957894,14.86385552,18.23641866
Madagascar,dry,0.1257,4.521748011,25.514375,0.302346961,20.42152094,17.75629139,23.23443
Madagascar,dry,0.1257,3.58484918,24.975,0.327488488,22.35774058,13.89769552,16.65992166
Madagascar,dry,0.1257,3.008891307,22.368125,0.329236916,18.35516181,11.55243944,13.03026546
Madagascar,dry,0.1257,6.909776816,20.309375,0.390694876,24.16916828,27.77728738,43.72375203
Madagascar,dry,0.1257,3.327906854,17.719375,0.372390039,18.33615231,12.84865284,15.00159513
Madagascar,dry,0.1257,5.777765053,27.25625,0.324358175,26.38559626,22.99801455,33.34059142
Madagascar,dry,0.1257,3.405636335,14.441875,0.315635954,12.06347991,13.16554931,15.49665033
Madagascar,dry,0.1257,2.634681027,19.915625,0.325067629,16.34523234,10.0416917,10.84303967
Madagascar,dry,0.1257,3.377840057,20.1225,0.259818766,14.33072017,13.05217985,15.31895671
Madagascar,dry,0.1257,3.856215798,20.7975,0.284053372,17.17449941,15.01014971,18.47921423
Madagascar,dry,0.1257,3.715193961,15.059375,0.296593484,11.71514972,14.43147742,17.52509849
Madagascar,dry,0.1257,5.618469024,21.7275,0.319504085,20.13465301,22.32941143,31.97680661
Madagascar,dry,0.1257,3.39350915,30.21625,0.263627394,21.56443937,13.11608125,15.41903435
Madagascar,dry,0.1257,2.810775453,24.088125,0.301534989,19.05914937,10.75123128,11.85532893
Madagascar,dry,0.1257,3.832346418,18.998125,0.347515544,17.69736628,14.91212008,18.31640198
Madagascar,dry,0.1257,2.486408545,2.6,0.300028846,2.023934883,9.446279149,10.01430993
Madagascar,dry,0.1257,3.157330618,6.01375,0.442473498,6.940151874,12.15467431,13.93540416
Panama,dry,0.1,4.851336,6.249489146,0.5488278,12.87638891,9.805816105,12.39174445
Panama,dry,0.1,6.136441,6.467603077,0.582153193,13.34599779,13.90320756,17.92396323
Panama,dry,0.1,4.205494,3.971737569,0.50660825,7.80258665,7.93048426,9.777490618
Panama,dry,0.1,4.073544,3.171797994,0.553405348,6.064193142,7.563620198,9.258697129
Panama,dry,0.1,2.628381,1.236780049,0.545261846,2.415598648,3.94466404,3.976579211
Panama,dry,0.1,3.666505,2.341196334,0.548940355,4.460344432,6.468443721,7.693709197
Panama,dry,0.1,2.209201,1.544830338,0.517436882,2.681211549,3.047218335,2.608339701
