"parcela","state","Name","location","plotID","sizeplot","year","owner","Alive.parcela","Dead.parcela","NA.height","No.height"
"ANA_A01 P01 50x50 2015","PA","Projeto Anambé","ANA_A01","P01","50x50",2015,"PaiSus","146","9",145,1
"ANA_A01 P02 50x50 2015","PA","Projeto Anambé","ANA_A01","P02","50x50",2015,"PaiSus","125","8",121,4
"ANA_A01 P03 50x50 2015","PA","Projeto Anambé","ANA_A01","P03","50x50",2015,"PaiSus","103","9",95,4
"ANA_A01 P04 50x50 2015","PA","Projeto Anambé","ANA_A01","P04","50x50",2015,"PaiSus","112","4",108,3
"ANA_A01 P05 50x50 2015","PA","Projeto Anambé","ANA_A01","P05","50x50",2015,"PaiSus","68","1",62,6
"ANA_A01 P06 50x50 2015","PA","Projeto Anambé","ANA_A01","P06","50x50",2015,"PaiSus","98","2",90,7
"ANA_A01 P07 50x50 2015","PA","Projeto Anambé","ANA_A01","P07","50x50",2015,"PaiSus","112","3",104,7
"ANA_A01 P08 50x50 2015","PA","Projeto Anambé","ANA_A01","P08","50x50",2015,"PaiSus","133","2",129,4
"ANA_A01 P09 50x50 2015","PA","Projeto Anambé","ANA_A01","P09","50x50",2015,"PaiSus","116","6",106,10
"ANA_A01 P10 50x50 2015","PA","Projeto Anambé","ANA_A01","P10","50x50",2015,"PaiSus","112","4",105,6
"ANA_A01 P11 50x50 2015","PA","Projeto Anambé","ANA_A01","P11","50x50",2015,"PaiSus","120","2",114,5
"ANA_A01 P12 50x50 2015","PA","Projeto Anambé","ANA_A01","P12","50x50",2015,"PaiSus","101","1",84,14
"ANA_A01 P13 50x50 2015","PA","Projeto Anambé","ANA_A01","P13","50x50",2015,"PaiSus","100","4",88,11
"ANA_A01 P14 50x50 2015","PA","Projeto Anambé","ANA_A01","P14","50x50",2015,"PaiSus","141","7",134,4
"ANA_A01 P15 50x50 2015","PA","Projeto Anambé","ANA_A01","P15","50x50",2015,"PaiSus","132","6",123,9
"ANA_A01 P16 50x50 2015","PA","Projeto Anambé","ANA_A01","P16","50x50",2015,"PaiSus","94","6",84,10
"ANA_A01 P17 50x50 2015","PA","Projeto Anambé","ANA_A01","P17","50x50",2015,"PaiSus","136","2",126,9
"ANA_A01 P18 50x50 2015","PA","Projeto Anambé","ANA_A01","P18","50x50",2015,"PaiSus","128","5",120,8
"ANA_A01 P19 50x50 2015","PA","Projeto Anambé","ANA_A01","P19","50x50",2015,"PaiSus","86","4",78,8
"ANA_A01 P20 50x50 2015","PA","Projeto Anambé","ANA_A01","P20","50x50",2015,"PaiSus","115","4",109,6
"ANA_A01 P21 50x50 2015","PA","Projeto Anambé","ANA_A01","P21","50x50",2015,"PaiSus","122","1",108,13
"ANA_A01 P22 50x50 2015","PA","Projeto Anambé","ANA_A01","P22","50x50",2015,"PaiSus","93","2",87,6
"ANA_A01 P23 50x50 2015","PA","Projeto Anambé","ANA_A01","P23","50x50",2015,"PaiSus","112","4",103,7
"ANA_A01 P24 50x50 2015","PA","Projeto Anambé","ANA_A01","P24","50x50",2015,"PaiSus","97","4",86,11
"ANA_A01 P25 50x50 2015","PA","Projeto Anambé","ANA_A01","P25","50x50",2015,"PaiSus","92","0",80,12
"ANA_A01 P26 50x50 2015","PA","Projeto Anambé","ANA_A01","P26","50x50",2015,"PaiSus","126","3",120,4
"ANA_A01 P27 50x50 2015","PA","Projeto Anambé","ANA_A01","P27","50x50",2015,"PaiSus","140","4",136,4
"ANA_A01 P28 50x50 2015","PA","Projeto Anambé","ANA_A01","P28","50x50",2015,"PaiSus","99","0",90,9
"ANA_A01 P29 50x50 2015","PA","Projeto Anambé","ANA_A01","P29","50x50",2015,"PaiSus","135","3",128,7
"ANA_A01 P30 50x50 2015","PA","Projeto Anambé","ANA_A01","P30","50x50",2015,"PaiSus","101","5",89,12
"ANA_A01 P31 50x50 2015","PA","Projeto Anambé","ANA_A01","P31","50x50",2015,"PaiSus","110","11",103,6
"ANA_A01 P32 50x50 2015","PA","Projeto Anambé","ANA_A01","P32","50x50",2015,"PaiSus","130","2",117,13
"AND_A01 T01P01 50x50 2013","PA","Fazenda Andiroba","AND_A01","T01P01","50x50",2013,"PaiSus","16","5",1,15
"AND_A01 T01P02 50x50 2013","PA","Fazenda Andiroba","AND_A01","T01P02","50x50",2013,"PaiSus","29","2",0,29
