"parcela","location","sizeplot","state","Name","plotID","year","owner","Alive.parcela","Dead.parcela","AGB","min.DBH","max.DBH","mean.DBH","sd.DBH","areaplot35","areaplot10","AGB10","ACD10","AGB35","ACD35","AGB.plot","ACD"
"ANA_A01 P01 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P01",2015,"PaiSus",146,9,48.6457260221428,10,59.6,18.9643835616438,9.56819977105215,0.25,0.1,257.010757752797,123.365163721343,92.5870023113979,44.441761109471,349.597760064195,167.806924830814
"ANA_A01 P02 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P02",2015,"PaiSus",125,8,69.9308905507801,10,92.6,21.2728,13.8955572849046,0.25,0.1,268.348772285081,128.807410696839,172.426129328247,82.7645420775584,440.774901613327,211.571952774397
"ANA_A01 P03 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P03",2015,"PaiSus",103,9,56.3241924991394,10,85.7,21.8525252525253,14.2624692557886,0.25,0.1,219.543229986967,105.380750393744,138.019201650684,66.2492167923283,357.562431637651,171.629967186073
"ANA_A01 P04 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P04",2015,"PaiSus",112,4,45.8286426369639,10.1,85,19.3810810810811,11.2356374056636,0.25,0.1,200.67827144018,96.3255702912863,103.53941952099,49.6989213700752,304.21769096117,146.024491661362
"ANA_A01 P05 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P05",2015,"PaiSus",68,1,70.5408490131207,10.5,92.2,24.9705882352941,16.6766801057737,0.25,0.1,146.715241748662,70.4233160393578,224.099557530266,107.567787614528,370.814799278928,177.991103653886
"ANA_A01 P06 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P06",2015,"PaiSus",98,2,109.789878830849,10,95,25.8917525773196,16.7458743059739,0.25,0.1,214.980347778331,103.190566933599,353.929374249631,169.886099639823,568.909722027961,273.076666573421
"ANA_A01 P07 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P07",2015,"PaiSus",112,3,76.9254479748849,10,82.5,22.7018018018018,14.3274560450904,0.25,0.1,219.428992288636,105.325916298545,220.655308594902,105.914548125553,440.084300883538,211.240464424098
"ANA_A01 P08 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P08",2015,"PaiSus",133,2,66.3551269686956,10.1,87.2,20.3473684210526,12.2106422717642,0.25,0.1,248.949481180641,119.495750966708,166.541983273886,79.9401519714654,415.491464454527,199.435902938173
"ANA_A01 P09 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P09",2015,"PaiSus",116,6,105.161137709218,10,105,23.9956896551724,16.2527289601062,0.25,0.1,230.009615261569,110.404615325553,329.489591414701,158.155003879057,559.49920667627,268.55961920461
"ANA_A01 P10 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P10",2015,"PaiSus",112,4,76.0272682646106,10,91.5,22.7765765765766,14.1057561104095,0.25,0.1,205.570089336966,98.6736428817435,222.684367915625,106.8884965995,428.254457252591,205.562139481244
"ANA_A01 P11 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P11",2015,"PaiSus",120,2,80.4473052261606,10.2,114,20.6294117647059,16.2601955131426,0.25,0.1,184.393338009716,88.5088022446635,248.579097884879,119.317966984742,432.972435894595,207.826769229406
"ANA_A01 P12 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P12",2015,"PaiSus",101,1,148.396969762158,11,105,27.919387755102,20.4453188661566,0.25,0.1,196.449333915306,94.2956802793466,515.841549776243,247.603943892597,712.290883691549,341.899624171944
"ANA_A01 P13 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P13",2015,"PaiSus",100,4,74.9512411316688,10,84,23.8282828282828,16.5089032281597,0.25,0.1,175.906329309373,84.4350380684989,229.917700510939,110.360496245251,405.824029820312,194.79553431375
"ANA_A01 P14 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P14",2015,"PaiSus",141,7,54.7688211612474,10,61,20.5166666666667,11.5360595135322,0.25,0.1,262.170208593486,125.841700124873,115.016218226504,55.2077847487219,377.18642681999,181.049484873595
"ANA_A01 P15 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P15",2015,"PaiSus",132,6,73.0403310185363,10.4,110,21.7204545454545,15.2166478670861,0.25,0.1,231.729884190665,111.230344411519,200.146671036282,96.0704020974156,431.876555226947,207.300746508935
"ANA_A01 P16 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P16",2015,"PaiSus",94,6,91.3130717934196,10,85,23.8936170212766,17.4269400179545,0.25,0.1,176.977115502809,84.9490154413482,294.995569365392,141.597873295388,471.972684868201,226.546888736737
"ANA_A01 P17 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P17",2015,"PaiSus",136,2,104.128781612386,10,110,23.1362962962963,15.7910923662839,0.25,0.1,299.079963654555,143.558382554186,297.869111958931,142.977173740287,596.949075613487,286.535556294474
"ANA_A01 P18 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P18",2015,"PaiSus",128,5,85.1044574808604,10.3,76,22.6578125,13.853454666645,0.25,0.1,264.06746915819,126.752385195931,235.608422768512,113.092042928886,499.675891926703,239.844428124817
"ANA_A01 P19 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P19",2015,"PaiSus",86,4,68.317310639816,10.6,83,22.6325581395349,15.33534511674,0.25,0.1,133.625392087687,64.1401882020898,220.192264510715,105.692286965143,353.817656598402,169.832475167233
"ANA_A01 P20 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P20",2015,"PaiSus",115,4,81.7033742522196,10,73,22.5773913043478,12.5555960883986,0.25,0.1,222.51595474602,106.807658278089,238.681058229324,114.566907950076,461.197012975344,221.374566228165
"ANA_A01 P21 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P21",2015,"PaiSus",122,1,143.712420515835,10.2,90,24.8305785123967,17.7421289730367,0.25,0.1,215.972060242109,103.666588916213,489.161152155116,234.797353034456,705.133212397225,338.463941950668
"ANA_A01 P22 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P22",2015,"PaiSus",93,2,63.5300245529042,10.2,81.1,22.7806451612903,14.3178457972872,0.25,0.1,173.258406914085,83.1640353187606,185.458803888373,89.0202258664192,358.717210802458,172.18426118518
"ANA_A01 P23 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P23",2015,"PaiSus",112,4,92.0584635424445,10.2,97.5,24.4281818181818,14.2440403234925,0.25,0.1,215.192965999361,103.292623679693,283.134802943148,135.904705412711,498.327768942509,239.197329092404
"ANA_A01 P24 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P24",2015,"PaiSus",97,4,194.076095602673,10.7,135,29.7762886597938,22.9168550289041,0.25,0.1,240.744759819506,115.557484713363,680.908238675687,326.83595456433,921.652998495193,442.393439277692
"ANA_A01 P25 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P25",2015,"PaiSus",92,0,80.0548303168891,10.1,78.1,23.9358695652174,16.2414513880869,0.25,0.1,161.739439538939,77.6349309786908,255.957036442847,122.859377492567,417.696475981787,200.494308471258
"ANA_A01 P26 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P26",2015,"PaiSus",126,3,47.3477611815851,10,58.4,19.9177419354839,10.7612678582313,0.25,0.1,242.434927354678,116.368765130245,93.0263866630121,44.6526655982458,335.46131401769,161.021430728491
"ANA_A01 P27 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P27",2015,"PaiSus",140,4,82.7006167944514,10.1,90,21.2642857142857,13.034227610955,0.25,0.1,288.872378996871,138.658741918498,216.051358581223,103.704652118987,504.923737578094,242.363394037485
"ANA_A01 P28 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P28",2015,"PaiSus",99,0,128.509201994253,10,142.8,26.3585858585859,19.5980476438135,0.25,0.1,255.626037056533,122.700497787136,412.619558362044,198.057388013781,668.245595418577,320.757885800917
"ANA_A01 P29 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P29",2015,"PaiSus",135,3,93.1508083928501,10.1,80.5,21.2318518518519,14.3704072577644,0.25,0.1,274.085633111129,131.561103893342,263.639115548227,126.546775463149,537.724748659356,258.107879356491
"ANA_A01 P30 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P30",2015,"PaiSus",101,5,126.157245872093,10.2,104.9,25.9762376237624,19.6294785896867,0.25,0.1,196.750142493156,94.4400683967149,426.544192338362,204.741212322414,623.294334831518,299.181280719129
"ANA_A01 P31 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P31",2015,"PaiSus",110,11,65.4644745147253,10,76.2,22.543119266055,13.8343598479406,0.25,0.1,209.366266394297,100.495807869263,178.816786798593,85.8320576633245,388.18305319289,186.327865532587
"ANA_A01 P32 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P32",2015,"PaiSus",130,2,115.91711176662,10,89.9,23.67,16.1986440718797,0.25,0.1,286.912332626561,137.717919660749,349.631506087779,167.823122922134,636.543838714341,305.541042582884
"AND_A01 T01P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P01",2013,"PaiSus",16,5,63.9049024655031,10.6,142,44.94375,35.3032759339224,0.25,0.025,4.8060423524797,2.30690032919026,248.944249447435,119.493239734769,253.750291799914,121.800140063959
"AND_A01 T01P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P02",2013,"PaiSus",29,2,30.1028991568321,10.1,60,28.948275862069,16.2522003057532,0.25,0.025,99.2460307235138,47.6380947472866,110.486995391947,53.0337577881347,209.733026115461,100.671852535421
"AND_A01 T01P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P03",2013,"PaiSus",18,3,14.0951080788782,11,59,28.2833333333333,16.2012435978738,0.25,0.025,98.7916675850456,47.4200004408219,46.5012659131252,22.3206076383001,145.292933498171,69.740608079122
"AND_A01 T01P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P04",2013,"PaiSus",21,2,42.823600050571,10.9,84,38.8666666666667,17.9116256474205,0.25,0.025,7.61949807515486,3.65735907607433,170.532452962701,81.8555774220966,178.151951037856,85.5129364981709
"AND_A01 T02P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P01",2013,"PaiSus",14,0,13.9464456374753,10.4,60,32.7642857142857,17.9822821835125,0.25,0.025,39.3507809274884,18.8883748451944,51.8507058159013,24.8883387916326,91.2014867433898,43.7767136368271
"AND_A01 T02P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P02",2013,"PaiSus",26,1,19.4153937957339,10.3,53.2,27.2461538461538,14.7737396963458,0.25,0.025,59.7511966650394,28.6805743992189,71.6864572163355,34.4094994638411,131.437653881375,63.09007386306
"AND_A01 T02P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P03",2013,"PaiSus",12,1,2.8380557377434,11,49.4,16.5083333333333,10.8418765847425,0.25,0.025,50.5176970251451,24.2484945720696,6.30045306848377,3.02421747287221,56.8181500936288,27.2727120449418
"AND_A01 T02P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P04",2013,"PaiSus",22,5,54.8082198164202,14,82.1,43.8454545454545,17.8930879783954,0.25,0.025,113.667710877203,54.5605012210574,207.894892985743,99.7895486331566,321.562603862946,154.350049854214
"AND_A01 T03P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P01",2013,"PaiSus",31,0,60.5597900268093,10.9,73,36.6225806451613,18.8496632980967,0.25,0.025,105.852501267367,50.809200608336,231.653914347257,111.193878886683,337.506415614623,162.003079495019
"AND_A01 T03P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P02",2013,"PaiSus",19,4,18.1728429576988,11.1,55,25.9210526315789,15.6734233283737,0.25,0.025,64.7972519361777,31.1026809293653,66.2116486183936,31.7815913368289,131.008900554571,62.8842722661942
"AND_A01 T03P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P03",2013,"PaiSus",10,0,22.0244011826781,13,68,37.9,22.9898528340947,0.25,0.025,42.6701377896233,20.4816661390192,83.8305900702596,40.2386832337246,126.500727859883,60.7203493727438
"AND_A01 T03P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P04",2013,"PaiSus",16,2,33.5689038579696,10.1,95,32.58,23.7649862492822,0.25,0.025,77.8642525491064,37.374841223571,126.489190810531,60.7148115890547,204.353443359637,98.0896528126258
"AND_A01 T04P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P01",2013,"PaiSus",12,2,23.0532609951253,12.2,110,33.275,27.3500249293554,0.25,0.025,92.9288914390677,44.6058678907525,82.9201554622937,39.801674621901,175.849046901361,84.4075425126534
"AND_A01 T04P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P02",2013,"PaiSus",10,3,3.4289095728629,10.4,40,18.44,11.2982004466788,0.25,0.025,32.1538895271495,15.4338669730318,10.5002499721548,5.04011998663432,42.6541394993044,20.4739869596661
"AND_A01 T04P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P03",2013,"PaiSus",16,4,21.7850375655564,13.7,76.5,37.38125,16.8095694471929,0.25,0.025,46.7642319365812,22.446831329559,82.4637282024818,39.5825895371913,129.227960139063,62.0294208667502
"AND_A01 T04P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P04",2013,"PaiSus",20,0,68.0118374550065,11.8,105,46.265,24.1296339972679,0.25,0.025,53.3003052658789,25.5841465276219,266.717323287506,128.024315178003,320.017628553385,153.608461705625
"AND_A01 T05P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T05P01",2013,"PaiSus",10,3,10.3116992375152,11.5,63.9,32.08,16.8998224842748,0.25,0.025,54.530094367472,26.1744452963866,35.8348205951167,17.200713885656,90.3649149625886,43.3751591820425
"AND_A01 T05P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T05P02",2013,"PaiSus",12,3,22.2859027338646,13.7,52.8,37.2,14.4454459637254,0.25,0.025,42.4244298242436,20.3637263156369,84.9011692158637,40.7525612236146,127.325599040107,61.1162875392515
"AND_A01 T05P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T05P03",2013,"PaiSus",12,2,18.4704132595876,10.8,59.3,35.1833333333333,15.9357707023786,0.25,0.025,24.9203992851002,11.9617916568481,71.3896135953804,34.2670145257826,96.3100128804805,46.2288061826307
"AND_A01 T05P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T05P04",2013,"PaiSus",15,3,21.0215702676833,13.8,61.7,38.4666666666667,16.7140944229998,0.25,0.025,38.5672246080833,18.51226781188,80.2295599923054,38.5101887963066,118.796784600389,57.0224566081866
"BON_A01 P01 50x50 2014","BON_A01","50x50","AC","Bonal","P01",2014,"PaiSus",32,1,26.9476010092982,10,64.2,27.428125,14.2637875433086,0.25,0.05,92.712868486421,44.5021768734821,89.2478312071138,42.8389589794146,181.960699693535,87.3411358528967
"BON_A01 P02 50x50 2014","BON_A01","50x50","AC","Bonal","P02",2014,"PaiSus",22,1,51.994750770946,12,170,33.2954545454545,33.7344034830168,0.25,0.05,67.995999284741,32.6380796566757,194.379802666628,93.3023052799815,262.375801951369,125.940384936657
"BON_A01 P03 50x50 2014","BON_A01","50x50","AC","Bonal","P03",2014,"PaiSus",31,2,30.6331010330624,11.1,68,31.3321428571429,15.1204069505158,0.25,0.05,125.793506339595,60.3808830430054,97.3737036545625,46.73937775419,223.167209994157,107.120260797195
"BON_A01 P04 50x50 2014","BON_A01","50x50","AC","Bonal","P04",2014,"PaiSus",26,2,71.7265096235482,10.5,180,33.05,33.3083082728619,0.25,0.05,124.483186097614,59.7519293268548,262.009402928867,125.764513405856,386.492589026481,185.516442732711
"BON_A01 P05 50x50 2014","BON_A01","50x50","AC","Bonal","P05",2014,"PaiSus",34,0,42.0607767402716,10.2,103.7,26.9818181818182,20.8972255117972,0.25,0.05,97.2899743406136,46.6991876834945,148.785110174462,71.4168528837415,246.075084515075,118.116040567236
"BON_A01 P06 50x50 2014","BON_A01","50x50","AC","Bonal","P06",2014,"PaiSus",15,2,30.1276931668332,10.2,90,30.7866666666667,24.4640805691781,0.25,0.05,17.3015273909757,8.30473314766832,117.050468096652,56.1842246863932,134.351995487628,64.4889578340615
