"parcela","location","sizeplot","state","Name","plotID","year","owner","Alive.parcela","Dead.parcela","AGB","min.DBH","max.DBH","mean.DBH","sd.DBH","areaplot35","areaplot10","AGB10","ACD10","AGB35","ACD35","AGB.plot","ACD","min.height","max.height","mean.height","sd.height","min.WD","max.WD","mean.WD","sd.WD","No.trees","No.palms","No.families","No.genus","No.species","BA10","BA10.plot","BA35","BA35.plot","Basal.area.plot","WD10","WD35","WD.C1","WD.C2"
"ANA_A01 P01 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P01",2015,"PaiSus",146,9,48.6457260221428,10,59.6,18.9643835616438,9.56819977105215,0.25,0.1,257.010757752797,123.365163721343,92.5870023113979,44.441761109471,349.597760064195,167.806924830814,11.52033,32.47,16.4234997103716,4.46674701969241,0.2547611,0.955,0.646169150358774,0.180173988125734,"146","0",26,47,59,31650.6899009191,316506.899009191,20015.4716411206,80061.8865644825,39.6568785573673,0.658858401357281,0.635878159192238,0.64736828027476,0.654219000556281
"ANA_A01 P02 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P02",2015,"PaiSus",125,8,69.9308905507801,10,92.6,21.2728,13.8955572849046,0.25,0.1,268.348772285081,128.807410696839,172.426129328247,82.7645420775584,440.774901613327,211.571952774397,11.52033,46.53,17.5149794098284,6.27371973081988,0.399,1.0565,0.679032349828571,0.149354947475928,"125","0",27,53,64,30592.9156544554,305929.156544554,32638.8857240874,130555.542896349,43.6484699440903,0.688642372117076,0.569023005932726,0.628832689024901,0.652863405951438
"ANA_A01 P03 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P03",2015,"PaiSus",103,9,56.3241924991394,10,85.7,21.8525252525253,14.2624692557886,0.25,0.1,219.543229986967,105.380750393744,138.019201650684,66.2492167923283,357.562431637651,171.629967186073,11.52033,46.99,17.8418431844479,6.42138174208868,0.2547611,0.952428571428571,0.669985541991342,0.145721670583228,"97","2",25,37,46,25012.2925663797,250122.925663797,27774.8834822404,111099.533928962,36.1222459592759,0.685350366397926,0.510258450870827,0.597804408634377,0.631498149590254
"ANA_A01 P04 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P04",2015,"PaiSus",112,4,45.8286426369639,10.1,85,19.3810810810811,11.2356374056636,0.25,0.1,200.67827144018,96.3255702912863,103.53941952099,49.6989213700752,304.21769096117,146.024491661362,11.59068,45.48,16.6926353475223,5.35812409136364,0.339835,0.9295,0.641421746332046,0.153065959490405,"111","0",24,43,58,25378.1545928351,253781.545928351,18274.9586251972,73099.8345007887,32.688138042914,0.638364296820449,0.61707246523092,0.627718381025685,0.633602846769761
"ANA_A01 P05 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P05",2015,"PaiSus",68,1,70.5408490131207,10.5,92.2,24.9705882352941,16.6766801057737,0.25,0.1,146.715241748662,70.4233160393578,224.099557530266,107.567787614528,370.814799278928,177.991103653886,11.86897,51.57,19.1772898529412,7.43920717534209,0.37475,0.918,0.684934760714286,0.151858971132765,"68","0",23,37,41,15812.6725510931,158126.725510931,32122.9576705516,128491.830682206,28.6618556193137,0.703141681445733,0.758925803922291,0.731033742684012,0.728149846008474
"ANA_A01 P06 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P06",2015,"PaiSus",98,2,109.789878830849,10,95,25.8917525773196,16.7458743059739,0.25,0.1,214.980347778331,103.190566933599,353.929374249631,169.886099639823,568.909722027961,273.076666573421,12.07454,53.18,20.3171177319588,9.21551383363781,0.37475,0.9295,0.67802748556701,0.152047034221997,"96","1",29,42,51,24124.7926417406,241247.926417406,48090.8955845667,192363.582338267,43.3611508755673,0.680730855540254,0.692806692053352,0.686768773796803,0.686088073059819
"ANA_A01 P07 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P07",2015,"PaiSus",112,3,76.9254479748849,10,82.5,22.7018018018018,14.3274560450904,0.25,0.1,219.428992288636,105.325916298545,220.655308594902,105.914548125553,440.084300883538,211.240464424098,11.52033,45.67,18.1882237506454,6.53188944540951,0.2547611,1.0565,0.65873535006435,0.168850611423569,"111","0",24,46,59,26545.6960866153,265456.960866153,36118.5765790565,144474.306316226,40.9931267182379,0.6496337524062,0.687408287866186,0.668521020136193,0.662946837413134
"ANA_A01 P08 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P08",2015,"PaiSus",133,2,66.3551269686956,10.1,87.2,20.3473684210526,12.2106422717642,0.25,0.1,248.949481180641,119.495750966708,166.541983273886,79.9401519714654,415.491464454527,199.435902938173,11.59068,48.04,17.1693020285316,5.74376526401419,0.339835,0.9213636,0.683918635982814,0.138572889471593,"133","0",29,48,62,29831.1422678129,298311.422678129,28873.6162429253,115494.464971701,41.380588764983,0.683160032168246,0.627974745513849,0.655567388841048,0.667757653065673
"ANA_A01 P09 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P09",2015,"PaiSus",116,6,105.161137709218,10,105,23.9956896551724,16.2527289601062,0.25,0.1,230.009615261569,110.404615325553,329.489591414701,158.155003879057,559.49920667627,268.55961920461,11.52033,45.25,18.6167877204695,7.0351029432167,0.37475,1.0565,0.710987929802956,0.155950144764999,"116","0",24,53,65,25552.1202860277,255521.202860277,50764.5401584227,203058.160633691,45.8579363493968,0.712541346457938,0.727482325503694,0.720011835980816,0.719157186516641
"ANA_A01 P10 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P10",2015,"PaiSus",112,4,76.0272682646106,10,91.5,22.7765765765766,14.1057561104095,0.25,0.1,205.570089336966,98.6736428817435,222.684367915625,106.8884965995,428.254457252591,205.562139481244,11.5203276074921,36.18,17.8307125910585,5.37243761979186,0.266,0.952428571428571,0.652157465508366,0.166878055850352,"111","0",30,47,64,25826.8996874739,258268.996874739,36589.2421364357,146356.968545743,40.4625965420482,0.628825165879457,0.792731676838925,0.710778421359191,0.688111672725374
"ANA_A01 P11 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P11",2015,"PaiSus",120,2,80.4473052261606,10.2,114,20.6294117647059,16.2601955131426,0.25,0.1,184.393338009716,88.5088022446635,248.579097884879,119.317966984742,432.972435894595,207.826769229406,11.66071,47.4,16.8571680672269,6.11304271879734,0.2547611,0.997,0.657793166386555,0.159307381439246,"119","0",33,51,66,22856.3981697986,228563.981697986,41421.8677216549,165687.47088662,39.4251452584606,0.673403607713097,0.653673528922737,0.663538568317917,0.665111877058111
"ANA_A01 P12 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P12",2015,"PaiSus",101,1,148.396969762158,11,105,27.919387755102,20.4453188661566,0.25,0.1,196.449333915306,94.2956802793466,515.841549776243,247.603943892597,712.290883691549,341.899624171944,12.21016,50,20.5128308166116,8.82142941410419,0.339835,1.0565,0.737565289504373,0.161847738909251,"98","0",24,43,52,21023.4202280984,210234.202280984,70818.9282785397,283275.713114159,49.3509915395143,0.739190907208813,0.744313321916467,0.74175211456264,0.742131183855566
"ANA_A01 P13 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P13",2015,"PaiSus",100,4,74.9512411316688,10,84,23.8282828282828,16.5089032281597,0.25,0.1,175.906329309373,84.4350380684989,229.917700510939,110.360496245251,405.824029820312,194.79553431375,11.52033,41,18.0404082801823,6.31315263325102,0.2547611,0.952428571428571,0.631015945165945,0.146369230468369,"99","0",26,50,60,22300.2498763153,223002.498763152,42825.1386201971,171300.554480788,39.4303053243941,0.614894422724922,0.678337597894168,0.646616010309545,0.642456601092813
"ANA_A01 P14 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P14",2015,"PaiSus",141,7,54.7688211612474,10,61,20.5166666666667,11.5360595135322,0.25,0.1,262.170208593486,125.841700124873,115.016218226504,55.2077847487219,377.18642681999,181.049484873595,11.52033,31.13,16.9130881884058,4.83551492907799,0.2547611,0.92275,0.657870665942029,0.145006260060617,"138","0",26,48,66,31343.913378296,313439.13378296,28598.3734565627,114393.493826251,42.7832627609211,0.664354887205321,0.568528598363835,0.616441742784578,0.638732942375546
"ANA_A01 P15 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P15",2015,"PaiSus",132,6,73.0403310185363,10.4,110,21.7204545454545,15.2166478670861,0.25,0.1,231.729884190665,111.230344411519,200.146671036282,96.0704020974156,431.876555226947,207.300746508935,11.79985,44.24,17.0896449672823,5.53341626216323,0.2547611,0.9213636,0.682870056060606,0.145356175268121,"132","0",28,49,65,28030.687664059,280306.87664059,44702.9078191559,178811.631276624,45.9118507917213,0.676124755108661,0.621703148969869,0.648913952039265,0.654929320808883
"ANA_A01 P16 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P16",2015,"PaiSus",94,6,91.3130717934196,10,85,23.8936170212766,17.4269400179545,0.25,0.1,176.977115502809,84.9490154413482,294.995569365392,141.597873295388,471.972684868201,226.546888736737,11.52033,44.44,18.4921120476518,7.52507481918649,0.2547611,0.9295,0.694810275075988,0.143026783903985,"94","0",18,36,45,20349.4857720503,203494.857720503,43981.6923936713,175926.769574685,37.9421627295188,0.692715375010949,0.719005091746029,0.705860233378489,0.704905151780416
"ANA_A01 P17 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P17",2015,"PaiSus",136,2,104.128781612386,10,110,23.1362962962963,15.7910923662839,0.25,0.1,299.079963654555,143.558382554186,297.869111958931,142.977173740287,596.949075613487,286.535556294474,11.52033,51.57,18.3577507979128,6.97209955977115,0.2547611,0.952428571428571,0.713413686419753,0.149882612593409,"135","0",23,48,59,31832.5409916721,318325.409916721,51166.7347039169,204666.938815668,52.2992348732389,0.734206302082293,0.649011304630298,0.691608803356296,0.700866236260736
"ANA_A01 P18 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P18",2015,"PaiSus",128,5,85.1044574808604,10.3,76,22.6578125,13.853454666645,0.25,0.1,264.06746915819,126.752385195931,235.608422768512,113.092042928886,499.675891926703,239.844428124817,11.73043,46.16,18.4162548548383,7.15700851102295,0.2547611,0.9295,0.656676173772321,0.16400559519311,"127","1",30,51,62,31419.0995444781,314190.995444781,39334.1223237118,157336.489294847,47.1527484739628,0.657199404660754,0.641186784310216,0.649193094485485,0.651856408649067
"ANA_A01 P19 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P19",2015,"PaiSus",86,4,68.317310639816,10.6,83,22.6325581395349,15.33534511674,0.25,0.1,133.625392087687,64.1401882020898,220.192264510715,105.692286965143,353.817656598402,169.832475167233,11.93779,46.81,18.3693527421158,7.52851127604946,0.2547611,0.99,0.666915355315615,0.167861991831364,"85","1",25,47,59,17628.4031491251,176284.031491251,32669.8304117252,130679.321646901,30.6963353138152,0.627358206129219,0.720428078694155,0.673893142411687,0.666979573592832
"ANA_A01 P20 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P20",2015,"PaiSus",115,4,81.7033742522196,10,73,22.5773913043478,12.5555960883986,0.25,0.1,222.51595474602,106.807658278089,238.681058229324,114.566907950076,461.197012975344,221.374566228165,11.52033,50.83,18.8372215961689,7.92506585425968,0.3506667,0.9295,0.676162228695652,0.151968327458,"115","0",25,46,62,26713.1586830149,267131.586830149,33441.4605453183,133765.842181273,40.0897429011422,0.659603114006689,0.74045814038534,0.700030627196014,0.686581687365964
"ANA_A01 P21 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P21",2015,"PaiSus",122,1,143.712420515835,10.2,90,24.8305785123967,17.7421289730367,0.25,0.1,215.972060242109,103.666588916213,489.161152155116,234.797353034456,705.133212397225,338.463941950668,11.66071,53.5,19.7701060027412,9.58334694886326,0.37,1.0565,0.701932594096812,0.158198425515737,"121","0",28,46,60,25098.3800590697,250983.800590697,63162.6627782189,252650.651112875,50.3634451703573,0.696716020794537,0.722185278496217,0.709450649645377,0.709492796727806
"ANA_A01 P22 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P22",2015,"PaiSus",93,2,63.5300245529042,10.2,81.1,22.7806451612903,14.3178457972872,0.25,0.1,173.258406914085,83.1640353187606,185.458803888373,89.0202258664192,358.717210802458,172.18426118518,11.66071,42.73,18.3728095885031,7.08422128071963,0.2547611,0.9423333,0.649403851786019,0.164279939037631,"93","0",23,42,53,20778.3131692653,207783.131692653,31940.0777082045,127760.310832818,33.5543442525471,0.652858824495289,0.664772270133722,0.658815547314505,0.657394945083432
"ANA_A01 P23 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P23",2015,"PaiSus",112,4,92.0584635424445,10.2,97.5,24.4281818181818,14.2440403234925,0.25,0.1,215.192965999361,103.292623679693,283.134802943148,135.904705412711,498.327768942509,239.197329092404,11.66071,51.47,19.4106349731428,7.4400835600458,0.37,0.9423333,0.669756401478046,0.155913750227575,"110","0",22,43,60,25470.2817974017,254702.817974017,43453.3314872089,173813.325948836,42.8516143922852,0.662941832292693,0.71166772500266,0.687304778647676,0.68270587057189
"ANA_A01 P24 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P24",2015,"PaiSus",97,4,194.076095602673,10.7,135,29.7762886597938,22.9168550289041,0.25,0.1,240.744759819506,115.557484713363,680.908238675687,326.83595456433,921.652998495193,442.393439277692,12.00631,55.46,21.4971358762887,9.84946404515153,0.339835,0.9423333,0.684220003092784,0.158788195368083,"97","0",19,36,48,26027.7574137812,260277.574137812,81116.5349262559,324466.139705024,58.4743713842835,0.688204283912555,0.735639504566125,0.71192189423934,0.714525426948659
"ANA_A01 P25 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P25",2015,"PaiSus",92,0,80.0548303168891,10.1,78.1,23.9358695652174,16.2414513880869,0.25,0.1,161.739439538939,77.6349309786908,255.957036442847,122.859377492567,417.696475981787,200.494308471258,11.59068,51.11,19.4652603238453,9.20526632962197,0.266,0.9295,0.652428972360248,0.142503332899394,"92","0",24,41,50,20104.9049299867,201049.049299867,40145.8077636381,160583.231054553,36.163228035442,0.64522084389481,0.628754824671981,0.636987834283395,0.63790908907354
"ANA_A01 P26 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P26",2015,"PaiSus",126,3,47.3477611815851,10,58.4,19.9177419354839,10.7612678582313,0.25,0.1,242.434927354678,116.368765130245,93.0263866630121,44.6526655982458,335.46131401769,161.021430728491,11.52033,35.8,16.8742244335595,4.93102743523797,0.457,0.952428571428571,0.674272415322581,0.144158622811907,"123","1",27,52,65,28810.0539695615,288100.539695615,21013.1236581762,84052.494632705,37.215303432832,0.675746589788659,0.577229711624856,0.626488150706758,0.653496094402966
"ANA_A01 P27 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P27",2015,"PaiSus",140,4,82.7006167944514,10.1,90,21.2642857142857,13.034227610955,0.25,0.1,288.872378996871,138.658741918498,216.051358581223,103.704652118987,504.923737578094,242.363394037485,11.59068,48.47,17.631838005191,6.37263578892773,0.266,1.0565,0.667510186734694,0.147718970769292,"140","0",23,47,64,33810.5269962804,338105.269962804,34455.2132247236,137820.852898894,47.5926122861698,0.674106423073044,0.664043479408927,0.669074951240985,0.671192350043972
"ANA_A01 P28 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P28",2015,"PaiSus",99,0,128.509201994253,10,142.8,26.3585858585859,19.5980476438135,0.25,0.1,255.626037056533,122.700497787136,412.619558362044,198.057388013781,668.245595418577,320.757885800917,11.52033,53.67,19.8364110241439,7.86431705111774,0.41,1.0565,0.707864224819625,0.151606957808978,"99","0",25,40,54,27281.2607365451,272812.607365451,56303.0973208668,225212.389283467,49.8024996648919,0.70941904126097,0.697377498611777,0.703398269936373,0.703973723036119
"ANA_A01 P29 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P29",2015,"PaiSus",135,3,93.1508083928501,10.1,80.5,21.2318518518519,14.3704072577644,0.25,0.1,274.085633111129,131.561103893342,263.639115548227,126.546775463149,537.724748659356,258.107879356491,11.59068,43.96,17.3682507326624,6.38975922780802,0.339835,0.9295,0.714908508888889,0.151657385179851,"135","0",25,46,61,30189.0560648548,301890.560648548,39341.4657965396,157365.863186158,45.9256423834706,0.7297988735606,0.729663842206132,0.729731357883366,0.729752604581985
"ANA_A01 P30 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P30",2015,"PaiSus",101,5,126.157245872093,10.2,104.9,25.9762376237624,19.6294785896867,0.25,0.1,196.750142493156,94.4400683967149,426.544192338362,204.741212322414,623.294334831518,299.181280719129,11.66071,50.03,19.6465446998481,8.95972796494432,0.339835,0.9295,0.700877238896747,0.128237730903759,"101","0",25,41,51,21373.3308178552,213733.308178552,62415.2229080584,249660.891632234,46.3394199810786,0.721466064356097,0.694443947397286,0.707955005876691,0.706907475110737
"ANA_A01 P31 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P31",2015,"PaiSus",110,11,65.4644745147253,10,76.2,22.543119266055,13.8343598479406,0.25,0.1,209.366266394297,100.495807869263,178.816786798593,85.8320576633245,388.18305319289,186.327865532587,11.52033,37.65,17.9285910293932,5.81886030895164,0.266,0.99,0.651085189515072,0.138375630060701,"108","1",26,47,57,25372.8374472689,253728.374472689,34366.9187631944,137467.675052778,39.1196049525467,0.647900303663427,0.655788737447586,0.651844520555506,0.650672327188285
"ANA_A01 P32 50x50 2015","ANA_A01","50x50","PA","Projeto Anambé","P32",2015,"PaiSus",130,2,115.91711176662,10,89.9,23.67,16.1986440718797,0.25,0.1,286.912332626561,137.717919660749,349.631506087779,167.823122922134,636.543838714341,305.541042582884,11.52033,43.23,18.5587639344131,7.15019008207089,0.339835,1.0565,0.683590738351648,0.152296893714917,"130","0",28,51,70,32101.7126502317,321017.126502317,51687.7442835699,206750.977134279,52.7768103636596,0.695393374755347,0.717678029587646,0.706535702171496,0.704123296343883
"AND_A01 T01P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P01",2013,"PaiSus",16,5,63.9049024655031,10.6,142,44.94375,35.3032759339224,0.25,0.025,4.8060423524797,2.30690032919026,248.944249447435,119.493239734769,253.750291799914,121.800140063959,5.22,50.98906,21.79869125,13.3347628307327,0.2547611,0.8520833,0.571090322916667,0.182164791157763,"15","1",12,15,15,486.255710922628,19450.2284369051,39579.9440948736,158319.776379494,17.7770004816399,0.44044234116811,0.637706380418509,0.539074360793309,0.616123264471758
